smr_U	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
3	UK	0.04043263516721039	0.021482387371621035	0.06180803152125332	1298.684869441743	1005.2269701662171	1583.1104133390068	32119.718738860138	19655.070887588503	62078.86879461966	1	-308.0853078450883	-852.5685230433133	281.6157684068306	0.156	0.9	1	less_severe
3	UK	0.06032707633835303	0.04044630661188701	0.08202219993277349	1298.684869441743	1005.2269701662171	1583.1104133390068	21527.39612571117	14718.96098319015	34609.60715941982	1	179.32850084790635	-430.05594121952373	754.8443000709982	0.732	1	1	mixed
3.5	Nigeria	1.7434324644310428	1.0081527338196523	2.420067843605912	2755.552313200567	2137.881372706475	3355.444547385512	1580.53286801667	1043.0298003944067	2745.0570295420707	1	-1012.1198487695242	-1947.1180869099355	-97.05087520306007	0.014	0.83	1	severe
3.5	Nigeria	0.6966812793570318	0.30638673581926007	1.0577339755445965	2755.552313200567	2137.881372706475	3355.444547385512	3955.2552865259563	2423.832794901437	8908.354916204147	1	-2058.871033843535	-2722.8777310131954	-1342.095032719354	0	0.002	0.887	less_severe
3.5	Nigeria	0.8400861917121714	0.43466627495204435	1.2070546112707965	2755.552313200567	2137.881372706475	3355.444547385512	3280.0828538611054	2100.6975990568412	6300.616716763595	1	-1915.4661214883956	-2616.3744209296683	-1188.0556905017659	0	0.016	0.965	mixed
3.5	Ecuador	1.4511582336875137	0.7567901355903424	2.0656637555333295	1604.9695662472975	1243.3232600668118	1943.1038047588452	1105.992116496446	706.4852488088692	2101.2612239856603	1	3111.2946932371224	855.7674541245063	5141.809468263839	0.999	1	1	severe
3.5	Ecuador	0.30613443038668037	0.13550668240535435	0.486595575209604	1604.9695662472975	1243.3232600668118	1943.1038047588452	5242.6953878400745	3035.907525013045	12066.305862765537	1	-610.0326674905865	-1283.2172124528188	93.88342919213008	0.049	0.727	0.995	less_severe
3.5	Ecuador	0.46300269143889455	0.2687133207765324	0.6557457539616544	1604.9695662472975	1243.3232600668118	1943.1038047588452	3466.4367959923957	2242.2366376249906	6190.282795660156	1	-100.21081907089027	-859.3081474400913	616.8216453095729	0.394	0.98	1	mixed
3.5	UK	0.19138654062097102	0.11206936609755373	0.26865436407902976	1299.008910871704	1005.5949240631544	1583.386101180914	6787.357703718097	4401.680594668644	12022.293208323184	1	3389.961334342086	1448.9056588919932	5296.600819519201	1	1	1	severe
3.5	UK	0.04646230503876311	0.027379769790140406	0.06784069702111896	1299.008910871704	1005.5949240631544	1583.386101180914	27958.339772164807	17706.388389625765	48467.31992765762	1	-160.6824374220078	-709.5580368023802	429.11337216175684	0.277	0.976	1	less_severe
3.5	UK	0.0663169253135256	0.04621492006767382	0.08803682787195741	1299.008910871704	1005.5949240631544	1583.386101180914	19587.894111954043	13607.370086175468	30329.536637518522	1	325.7557593096731	-284.4536227346727	907.0014524019324	0.847	1	1	mixed
4	Nigeria	1.9790229662462755	1.249440696794116	2.645373564787094	2760.8034965734064	2145.006815221658	3359.964268859031	1395.0335815505862	947.5060591480815	2246.3422109643366	1	-781.7805303271308	-1712.0987333293106	132.3953599190278	0.052	0.94	1	severe
