scenario_id	group	label	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	UK	0.032977911128760994	0.016616730407753612	0.05229088430397651	1300.5237965189049	1007.0388197427835	1585.341303357545	39436.20902612841	22901.821681664067	79787.61671422972	1	-492.5649738642606	-1005.0583810483076	80.69334648006019	0.043	0.732	1	less_severe
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	UK	0.05295236877985209	0.03480291229427229	0.0732733956275068	1300.5237965189049	1007.0388197427835	1585.341303357545	24560.25719880057	16400.143495146178	39798.34222623913	1	-3.190761412528474	-558.4573982175116	569.8939529756951	0.506	0.999	1	mixed
SMR-U-DECLINE	Untreated mortality	Untreated SMR declining linearly to 2.6 by year 10	Nigeria	2.186705263978798	1.1590035621476207	3.2047013579521706	2770.7765404983747	2144.1306919149206	3370.973564088277	1267.1010520443142	789.8179208984873	2457.9354869495673	1	-584.0712765195769	-1730.0693979906296	640.0755320952954	0.178	0.928	1	severe
SMR-U-DECLINE	Untreated mortality	Untreated SMR declining linearly to 2.6 by year 10	Nigeria	1.1884616729303124	0.2120455771701147	2.1111684266781996	2770.7765404983747	2144.1306919149206	3370.973564088277	2331.3974725551325	1265.4825624106882	12364.356018486973	0.998	-1582.3148675680623	-2612.4917699333673	-523.1200427907627	0.002	0.365	0.925	less_severe
SMR-U-DECLINE	Untreated mortality	Untreated SMR declining linearly to 2.6 by year 10	Nigeria	1.325221044903955	0.3541014346174183	2.248735133124297	2770.7765404983747	2144.1306919149206	3370.973564088277	2090.80330496803	1187.1906941861957	7524.121485734121	0.999	-1445.5554955944199	-2490.991284176373	-363.61780887536463	0.003	0.466	0.959	mixed
SMR-U-DECLINE	Untreated mortality	Untreated SMR declining linearly to 2.6 by year 10	Ecuador	1.5946545816919895	0.8928754891508911	2.2608225118213943	1607.0944504150582	1246.1018581264768	1944.016199389704	1007.8009801407082	623.3169354394826	1869.488380534091	1	3575.5329400839073	1232.301929205552	5839.039551514837	1	1	1	severe
SMR-U-DECLINE	Untreated mortality	Untreated SMR declining linearly to 2.6 by year 10	Ecuador	0.46213789888430395	0.11748445782269293	0.7980633001264243	1607.0944504150582	1246.1018581264768	1944.016199389704	3477.521437421417	1927.4636637232968	12992.474665851907	1	-105.1462790410703	-1202.550350520238	1018.9126837296621	0.444	0.888	0.991	less_severe
SMR-U-DECLINE	Untreated mortality	Untreated SMR declining linearly to 2.6 by year 10	Ecuador	0.6172926844289568	0.2735494744819895	0.9531989387837941	1607.0944504150582	1246.1018581264768	1944.016199389704	2603.456173957001	1557.623170194276	5876.155424641121	1	399.10677397905164	-705.3774597055319	1585.9034321087443	0.731	0.985	1	mixed
SMR-U-DECLINE	Untreated mortality	Untreated SMR declining linearly to 2.6 by year 10	UK	0.20072761266175593	0.12171842991304994	0.2783194595556625	1299.8946677200104	1006.9603141099203	1584.6941524713568	6475.913555104398	4141.830945785327	11145.653271049032	1	3617.9318424930093	1644.3353829384546	5558.901240512667	1	1	1	severe
SMR-U-DECLINE	Untreated mortality	Untreated SMR declining linearly to 2.6 by year 10	UK	0.0565990533303405	0.031005902017734177	0.08586086921056968	1299.8946677200104	1006.9603141099203	1584.6941524713568	22966.72101798545	14200.38699253942	44916.893388659766	1	86.78213887333185	-610.8624545458285	866.1439793148711	0.576	0.987	1	less_severe
